onset	duration	trialType	correct	stim_file
2	1.0	4.0	1	stim_4.png
8	1.0	3.0	1	stim_3.png
22	1.0	2.0	1	stim_2.png
32	1.0	3.0	1	stim_3.png
38	1.0	5.0	1	stim_5.png
50	1.0	4.0	1	stim_4.png
56	1.0	3.0	1	stim_3.png
62	1.0	3.0	1	stim_3.png
72	1.0	5.0	1	stim_5.png
90	1.0	3.0	1	stim_3.png
98	1.0	4.0	1	stim_4.png
106	1.0	2.0	1	stim_2.png
120	1.0	4.0	1	stim_4.png
128	1.0	4.0	1	stim_4.png
134	1.0	2.0	1	stim_2.png
140	1.0	2.0	1	stim_2.png
146	1.0	2.0	1	stim_2.png
154	1.0	4.0	1	stim_4.png
160	1.0	4.0	1	stim_4.png
176	1.0	3.0	1	stim_3.png
194	1.0	5.0	1	stim_5.png
200	1.0	5.0	1	stim_5.png
206	1.0	3.0	1	stim_3.png
214	1.0	2.0	1	stim_2.png
226	1.0	4.0	1	stim_4.png
242	1.0	4.0	1	stim_4.png
248	1.0	3.0	1	stim_3.png
256	1.0	5.0	1	stim_5.png
266	1.0	4.0	1	stim_4.png
276	1.0	3.0	1	stim_3.png
284	1.0	5.0	1	stim_5.png
298	1.0	5.0	1	stim_5.png
306	1.0	2.0	1	stim_2.png
318	1.0	5.0	1	stim_5.png
334	1.0	5.0	1	stim_5.png
346	1.0	3.0	1	stim_3.png
352	1.0	2.0	1	stim_2.png
358	1.0	2.0	1	stim_2.png
376	1.0	5.0	1	stim_5.png
382	1.0	3.0	1	stim_3.png
388	1.0	2.0	1	stim_2.png
394	1.0	4.0	1	stim_4.png
402	1.0	2.0	1	stim_2.png
410	1.0	5.0	1	stim_5.png
424	1.0	5.0	1	stim_5.png
442	1.0	2.0	1	stim_2.png
450	1.0	4.0	1	stim_4.png
458	1.0	3.0	1	stim_3.png
