onset	duration	trialType	correct	stim_file
2	1.0	3.0	1	stim_3.png
8	1.0	4.0	1	stim_4.png
14	1.0	3.0	1	stim_3.png
28	1.0	5.0	1	stim_5.png
42	1.0	5.0	1	stim_5.png
50	1.0	5.0	1	stim_5.png
58	1.0	5.0	1	stim_5.png
76	1.0	3.0	1	stim_3.png
82	1.0	4.0	1	stim_4.png
88	1.0	5.0	1	stim_5.png
94	1.0	5.0	1	stim_5.png
100	1.0	4.0	1	stim_4.png
106	1.0	2.0	1	stim_2.png
122	1.0	2.0	1	stim_2.png
132	1.0	4.0	1	stim_4.png
140	1.0	2.0	1	stim_2.png
146	1.0	3.0	1	stim_3.png
154	1.0	3.0	1	stim_3.png
160	1.0	4.0	1	stim_4.png
178	1.0	3.0	1	stim_3.png
190	1.0	2.0	1	stim_2.png
196	1.0	5.0	1	stim_5.png
214	1.0	3.0	1	stim_3.png
220	1.0	4.0	1	stim_4.png
230	1.0	2.0	1	stim_2.png
242	1.0	4.0	1	stim_4.png
252	1.0	3.0	1	stim_3.png
264	1.0	4.0	1	stim_4.png
280	1.0	2.0	1	stim_2.png
288	1.0	2.0	1	stim_2.png
296	1.0	4.0	1	stim_4.png
312	1.0	4.0	1	stim_4.png
318	1.0	2.0	1	stim_2.png
326	1.0	5.0	0	stim_5.png
336	1.0	3.0	1	stim_3.png
344	1.0	5.0	1	stim_5.png
358	1.0	4.0	1	stim_4.png
376	1.0	2.0	1	stim_2.png
382	1.0	5.0	1	stim_5.png
390	1.0	3.0	1	stim_3.png
396	1.0	2.0	1	stim_2.png
402	1.0	2.0	1	stim_2.png
410	1.0	5.0	1	stim_5.png
424	1.0	3.0	1	stim_3.png
440	1.0	4.0	1	stim_4.png
446	1.0	5.0	1	stim_5.png
458	1.0	2.0	1	stim_2.png
466	1.0	3.0	1	stim_3.png
