onset	duration	trialType	correct	stim_file
2	1.0	5.0	1	stim_5.png
12	1.0	5.0	1	stim_5.png
18	1.0	2.0	1	stim_2.png
24	1.0	3.0	1	stim_3.png
32	1.0	4.0	1	stim_4.png
38	1.0	2.0	1	stim_2.png
56	1.0	3.0	1	stim_3.png
72	1.0	5.0	1	stim_5.png
84	1.0	5.0	1	stim_5.png
90	1.0	2.0	1	stim_2.png
96	1.0	4.0	1	stim_4.png
102	1.0	3.0	1	stim_3.png
110	1.0	5.0	1	stim_5.png
126	1.0	4.0	1	stim_4.png
134	1.0	5.0	1	stim_5.png
148	1.0	4.0	1	stim_4.png
154	1.0	3.0	1	stim_3.png
160	1.0	3.0	1	stim_3.png
168	1.0	2.0	1	stim_2.png
180	1.0	5.0	1	stim_5.png
198	1.0	3.0	1	stim_3.png
204	1.0	2.0	1	stim_2.png
212	1.0	3.0	1	stim_3.png
226	1.0	2.0	1	stim_2.png
234	1.0	3.0	1	stim_3.png
244	1.0	2.0	1	stim_2.png
250	1.0	2.0	1	stim_2.png
258	1.0	2.0	1	stim_2.png
264	1.0	3.0	1	stim_3.png
278	1.0	5.0	1	stim_5.png
286	1.0	3.0	1	stim_3.png
302	1.0	4.0	1	stim_4.png
310	1.0	2.0	1	stim_2.png
318	1.0	4.0	1	stim_4.png
334	1.0	4.0	1	stim_4.png
346	1.0	5.0	1	stim_5.png
356	1.0	4.0	1	stim_4.png
362	1.0	4.0	1	stim_4.png
368	1.0	3.0	1	stim_3.png
386	1.0	5.0	1	stim_5.png
396	1.0	5.0	1	stim_5.png
402	1.0	5.0	1	stim_5.png
416	1.0	2.0	1	stim_2.png
434	1.0	4.0	1	stim_4.png
442	1.0	2.0	1	stim_2.png
448	1.0	3.0	1	stim_3.png
454	1.0	4.0	1	stim_4.png
462	1.0	4.0	1	stim_4.png
